gene,weight
PuroR,0.3787244409286852
TSPAN6,0.0002653736252518905
TNMD,3.695119592814413e-06
DPM1,0.31987429387897826
SCYL3,-0.09948332018964029
C1orf112,-0.22117370019435134
FGR,0.0008607002974583304
CFH,-0.027702448925427982
FUCA2,-0.06826768819754439
GCLC,0.12282452639315145
NFYA,0.025962153473925664
STPG1,-0.039041130893116754
NIPAL3,-0.5631725058985473
LAS1L,0.273844112582263
ENPP4,0.0043563422128008455
SEMA3F,0.001010477029746917
CFTR,0.0008155470725603138
ANKIB1,0.023138695502052053
CYP51A1,0.5449420560520504
KRIT1,0.04466655550736354
RAD52,-0.02172693389462388
BAD,-0.21117336945436654
LAP3,0.06787785712069816
CD99,0.14601225366753634
HS3ST1,0.042241819105020555
AOC1,-1.9852715174348567e-05
WNT16,7.793431812306705e-05
HECW1,8.817560773077165e-06
MAD1L1,-0.8336187497356129
LASP1,-0.2878797257086769
SNX11,-0.015065830766877841
TMEM176A,-0.00037545442796941045
M6PR,0.30993674309449104
KLHL13,0.0013725071971678916
CYP26B1,2.265739784005304e-05
ICA1,-0.020378772950536722
DBNDD1,-5.097116559845323e-05
ALS2,-0.029366137290287087
CASP10,-0.7089653005225568
CFLAR,0.912683219403406
TFPI,0.005581889305584481
NDUFAF7,-0.011189882866910472
RBM5,-0.20075182202995656
MTMR7,2.1413672998563304e-06
SLC7A2,4.528631506839097e-05
ARF5,-0.11286485115816491
SARM1,0.25826106743901167
POLDIP2,0.5383404041952493
PLXND1,0.009195381486777655
CD38,0.6830176251760107
FKBP4,0.6415874978173298
KDM1A,0.3537809494258559
RBM6,-0.08438811797256718
CAMKK1,0.060525599514601104
RECQL,-0.8020209098498079
VPS50,-0.18001110646656632
HSPB6,0.0004483885516598393
ARHGAP33,-0.14807810584400688
NDUFAB1,0.5894494672502661
PDK4,-9.391878711538318e-05
SLC22A16,-6.925819163059271e-05
ZMYND10,-0.03200901852677163
ABCB5,3.510461750971194e-05
ARX,0.00039356257275481045
SLC25A13,0.18501560722221377
ST7,0.2788967668804991
CDC27,-0.15998454280332997
SLC4A1,1.394387625504356e-05
CALCR,9.58333978484229e-06
HCCS,0.22085903891225556
DVL2,0.14104579135142986
PRSS22,-8.148089295855234e-05
UPF1,0.22625326796956458
SKAP2,-0.06824313786186176
SLC25A5,0.020251764045948195
MCUB,-1.1048072122812045
HOXA11,0.0003147000924427485
DHX33,0.6753473723589678
MEOX1,-0.00669614891141586
THSD7A,9.646652313958209e-06
LIG3,0.30320944047618636
RPAP3,0.35234114149915663
ACSM3,-0.00655847479739218
REXO5,-0.04284740606759273
CIAPIN1,0.2716784794781545
SPPL2B,-0.1574551491282139
ATOSB,-0.14461109657467242
COPZ2,-0.07513350482938888
PRKAR2B,-0.005251181367078583
MSL3,0.007196093645895296
CREBBP,-0.2865380173743399
TSPOAP1,-0.19335641803506948
MPO,0.00013716701017866861
PON1,-0.00021321951688195673
GCFC2,0.32310626383619984
WDR54,-0.3534874174046999
CROT,-0.2169201923052794
ABCB4,-2.9746075964663904e-05
KMT2E,-0.2156008665486655
RHBDD2,0.05788170984204544
SOX8,0.010813827495506075
IBTK,0.29372344598157407
ZNF195,0.09949139379736016
MYCBP2,-0.02726828109194135
FBXL3,-0.20981268849687007
ITGAL,-0.7316736743330465
PDK2,-0.39654823950264995
ITGA3,-0.021069368703727387
ZFX,-0.04790899237223745
LAMP2,-0.3858729245748076
ITGA2B,-0.0007986192634991205
ASB4,2.8995491287948748e-05
GDE1,0.016903477380287524
CRLF1,5.70025625333342e-06
OSBPL7,-0.08900855516309845
TMEM98,-0.007854410904910267
YBX2,-0.0002730989706152615
KRT33A,-1.3052742963243551e-06
MAP3K14,0.2643942869788114
ABCC8,-0.00020886161554894481
CACNG3,-3.0122877748958316e-05
TMEM132A,0.0007461759396259517
AP2B1,-0.2504047782378256
TAC1,0.0043492814294769575
ZNF263,0.1355301263047307
CX3CL1,9.268910577051173e-07
SPATA20,-0.005431659248708531
CACNA1G,-0.00048255030522159804
TNFRSF12A,0.0005827677617988164
DLX6,4.68719418148189e-05
MAP3K9,-0.040577460285035075
RALA,0.16490567638213927
BAIAP2L1,0.0021247863577669333
KDM7A,-0.26311860067834597
ETV1,-3.1091842851788706e-05
AGK,1.1371433259209953
ALDH3B1,-0.00018968869611929882
TTC22,-0.28955261291510254
PHTF2,-0.03430948563975056
CCL26,4.407529445964104e-05
FARP2,0.2686436278501624
USH1C,-1.8187371905908495e-05
GGCT,0.5376623625717525
DBF4,0.13186630600245053
TBXA2R,-0.12261698218638688
IFRD1,0.5552728211946009
LGALS14,0.0006025902612003237
COX10,0.33310546972488253
GTF2IRD1,-0.03648595027488298
PAF1,0.011104094991349234
VPS41,-0.16236100674603604
ARHGAP44,0.00043251537005856286
ELAC2,0.23116400278003923
SCIN,-0.014619629595247763
ARSD,-0.015035307986431184
PNPLA4,0.021516720634874975
MYH13,-3.865114495399284e-06
ADIPOR2,0.21748831906242694
CDKL3,0.0009170095005643711
UPP2,-5.38585048491199e-05
PRSS21,0.047012730811070644
MARK4,-0.002945974293794132
PROM1,0.00015662812536477576
CCDC124,0.6182714156709241
CEACAM21,-0.12579092941962974
PAFAH1B1,-0.13714087979342526
NOS2,5.4447584587396776e-05
DNAH9,-1.714366169651412e-05
BLTP2,0.6057822699171611
SLC13A2,8.462481481721498e-06
GAS7,-0.00012925231273936788
TRAPPC6A,-0.35182632998746155
MATK,0.4857058876905798
CEACAM7,7.334040933818077e-06
CD79B,-0.3984894599010988
SCN4A,-0.0012484774506420614
ST7L,-0.02281667846284971
TKTL1,-0.004749157980020728
PAX6,-1.7567402047994814e-05
RPUSD1,0.19364932083982767
RHBDF1,3.9964961857194775e-05
LUC7L,0.41519045604040883
CACNA2D2,-0.006521840089671649
BAIAP3,-0.001115650741947559
TSR3,0.4660632608836377
PIGQ,-0.041024693552444036
CRAMP1,0.003108569460734012
TEAD3,0.011330655281137442
SELE,-9.171202658555069e-07
DNAJC11,0.6842795076588345
FMO3,9.381243474061166e-06
MYLIP,-0.16601635656687677
NOX1,1.8772978079207966e-05
E2F2,-0.9800116372860697
PSMB1,0.3030789795033244
SYN1,-0.008364659588688431
JARID2,0.8913902972631926
CDKL5,-0.024406831690418955
CAMK1G,0.000121186046498791
CDK11A,-0.013154306851203779
NADK,0.2953291573691176
TFAP2B,5.696614762067291e-06
TFAP2D,-0.0011123015267708578
DLEC1,-0.009054527679230153
CYTH3,0.005607251133321181
ADAM22,-0.015943382374454716
SYPL1,0.02194929961259448
CYB561,-0.16250472149737852
SPAG9,-0.04090388147217805
CELSR3,0.07573251862472485
AASS,-0.004622820420580389
PLEKHG6,-0.00018647137721816096
SS18L2,-0.006886881756264396
MPND,-0.09059561663769095
MGST1,0.0022747472814237356
CRY1,0.26078944835061146
PGLYRP1,-7.175775416938085e-06
NFIX,0.06625273833327938
ST3GAL1,-0.33514402620836947
MMP25,-0.2837920298217414
IL32,-1.7282849183299849
PKD1,0.06349179823746834
MAPK8IP2,-0.002373130928662215
MED24,0.1312036146088238
RHOBTB2,-0.028827103786640704
HEATR5B,-0.24749691068378943
SEC62,0.12435487270200718
CSDE1,0.22943014239091553
UBE3C,0.6125283006076263
REV3L,-0.07113237674299211
TENM1,-0.022684850175629625
PAX7,-1.9194398006771937e-06
MASP2,0.0014092869701879229
IYD,1.0109150638545817e-05
FAM76A,-0.12297371118805073
TRAF3IP3,-0.4090152630263444
POMT2,0.05446576528646098
VTA1,0.2882812514001175
MLXIPL,1.832130734263925e-05
BAZ1B,0.19548967831391084
RANBP9,0.05634801085640473
ETV7,-0.01416858713759944
SPRTN,-0.044250197293928206
METTL13,0.32121205728823743
DYRK4,0.11478845857016495
ZNF207,0.0377844191134071
UQCRC1,0.03977848926710803
STARD3NL,0.15050600447931772
CD9,0.09637137067879886
HHATL,-0.00013322571925330367
NCAPD2,-0.681733772355523
IFFO1,-0.10852762191287602
GIPR,-0.0034033123844455886
SEMA3G,-0.006728698848323295
NISCH,-0.05847682551593614
STAB1,-3.627551570662813e-05
FUZ,-0.006617548517901889
SLC6A13,-0.0024335214445884166
