gene,my_score,author_coef,coef_sem,coef_rank,known_regulators,known,highlight
A2M,0.25857663,0.0077555817822136,0.000653341339435,0.227712684666327,False,other,
AACS,0.16544312,-0.0216356846060649,0.0007049447520024,0.9365766683647478,False,other,
AAGAB,-0.2258939,-0.0073687862313382,0.0010094372113586,0.6861946001018848,False,other,
AAMDC,0.06421801,-0.0159931108250397,0.0010508907921682,0.8772287315333673,False,other,
AAR2,0.034999777,-0.0055002993315203,0.000860386528895,0.6324503311258278,False,other,
AASDH,-0.30509198,-0.0141791848476084,0.000546716566613,0.8497198166072338,False,other,
AASDHPPT,0.28399393,-0.000849881703856,0.0006384241738017,0.4859908303616913,False,other,
AASS,-0.0955565,-0.0137062373580472,0.0005090953265979,0.8392766174223127,False,other,
ABCA1,-0.03907188,0.019463715349508,0.0006185139645566,0.0448293428425878,False,other,
ABCA3,-0.012562549,0.0029870783744579,0.0006419153994494,0.3616912888436067,False,other,
ABCA5,-0.23217112,0.0036773511465916,0.0008124619786524,0.3408048904737646,False,other,
ABCB7,0.078616515,0.0121233008561708,0.0008092106580639,0.1416199694345389,False,other,
ABCC1,-0.6315086,-0.0071183046782309,0.0005262553850372,0.6805909322465614,False,other,
ABCC4,-0.0035146885,-0.0026403264900122,0.0007126795721826,0.5453387671930718,False,other,
ABCD2,0.024876967,-0.0060582966437837,0.0004379928085219,0.6477330616403464,False,other,
ABCD4,0.16697113,0.0026314902517981,0.0005541067470546,0.3716250636780438,False,other,
ABHD12,-0.17435111,-0.0001325221879322,0.0008628381601562,0.4589913397860418,False,other,
ABHD13,-0.38923824,0.020120899199385,0.0011234358063157,0.0397350993377483,False,other,
ABHD14A,0.2589466,-0.0058641043214469,0.0005862341051876,0.6431482424859908,False,other,
ABHD14B,-0.123807125,-0.0089423183419696,0.0010202557978488,0.7328069281711665,False,other,
ABHD16B,0.2179332,-0.0039182566184498,0.0008241272258217,0.5825267447784004,False,other,
ABHD17A,-0.6223326,-0.0145646528884129,0.0005803215084753,0.8586347427407031,False,other,
ABHD2,-0.14663331,0.0101131327183599,0.0006464203056131,0.1775343861436576,False,other,
ABHD6,0.08746639,0.0063351040343521,0.000929543031321,0.2631176770249618,False,other,
ABI3,-0.132109,9.02234501585684e-05,0.0007721537369047,0.4518593988792664,False,other,
ABL2,-0.10822058,-0.0126844042051255,0.0006725273380111,0.8194090677534386,False,other,
ABT1,0.29129994,-0.0132627002713764,0.0005583964648865,0.8313805399898115,False,other,
ACACA,-0.04833789,0.0144411699447359,0.0007940660926054,0.1011207335710647,False,other,
ACAD11,0.28887352,0.0039100653403731,0.0009216908390642,0.3331635252165053,False,other,
