gene,Rest,Stim8hr,Stim48hr
BAHD1,-0.05481010302901268,-0.060387127101421356,-0.009047845378518105
CBLB,-0.07556337863206863,-0.03426279500126839,-0.020197797566652298
CD6,0.006311831064522266,0.02997945435345173,-0.04067601263523102
IFNAR1,0.028003891929984093,0.0737842246890068,0.05730251222848892
INTS6,-0.07254809886217117,-0.058195505291223526,0.003059566020965576
JADE2,-0.07795177400112152,-0.059134017676115036,-0.06058088690042496
PAXIP1,0.03560234233736992,0.07193662971258163,0.06290467083454132
RAC2,-0.08248437941074371,-0.05598250404000282,-0.033821143209934235
SNRPB2,0.10445734858512878,0.0509965755045414,0.03420831635594368
TATDN2,0.0376642681658268,0.07146608084440231,0.0011270431568846107
TNFRSF9,-0.09558027237653732,-0.08769726753234863,-0.07051647454500198
TRIT1,0.1043163314461708,0.05080084875226021,0.035672612488269806
TWF1,0.04711200296878815,0.05924094468355179,0.0757414698600769
URM1,-0.014104046858847141,-0.06648056954145432,-0.008190937340259552
