gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
RAB19,-0.042621933,-0.0546868313648409,0.0372388490778033,286.0,381.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
SECISBP2L,-0.042614937,0.6702020271110901,-0.001789040904868,10.0,1338.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
TSPO2,-0.042600393,,0.1744843754120513,1.0,468.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
SP100,-0.04256831,-0.0097439747047395,0.0194224552466376,306.0,756.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
NDUFB5,-0.04255385,-0.1631528467204549,0.0795265722993551,5.0,447.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
SPATA32,-0.042522773,1.0,0.1083048162865523,2.0,633.0,1.0,True,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
PTGES2,-0.0425141,1.0,0.0512193153212194,1.0,546.0,2.0,False,True,False,False,False,novel,,0.4682,,polarization,Stim8hr,T-cell-specific(measured),True,True
GPD1L,-0.042495366,0.3156634783029108,-0.0307373669345307,39.0,455.0,2.0,False,True,True,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
MTA1,-0.042450726,0.3442213199480187,0.0238905527052802,5.0,600.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
CENPV,-0.0424497,0.9965664067766624,0.1229642717882217,9.0,569.0,2.0,False,True,False,False,False,novel,,0.2088,,polarization,Stim8hr,T-cell-specific(measured),True,True
DOCK6,-0.04244017,,,0.0,493.0,1.0,True,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
FEZ2,-0.042412683,0.913035456154509,-0.0096209684021908,0.0,1048.0,2.0,False,True,False,False,False,novel,,0.2626,,polarization,Stim8hr,T-cell-specific(measured),True,True
USP6NL,-0.04240272,0.9333188639419916,0.1030242164255983,3.0,729.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
CYCS,-0.042330142,,,50.0,135.0,2.0,False,True,False,False,False,novel,,0.381,,polarization,Stim8hr,T-cell-specific(measured),True,True
COQ9,-0.042327616,0.6426552589196082,0.0086947557993099,0.0,320.0,2.0,False,True,False,False,False,novel,,0.4218,,polarization,Stim8hr,T-cell-specific(measured),True,True
TMEM175,-0.042295948,,,3.0,596.0,1.0,True,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
SPDYE2,-0.042294025,,,0.0,628.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
TDP2,-0.042288054,0.9443586851107626,0.036261632654268,1.0,699.0,2.0,False,True,False,True,False,novel,,0.6031,cell-line-shared/generic,polarization,Stim8hr,cell-line-shared/generic,False,False
ARMCX3,-0.042286728,0.5527410255434675,0.0911010300524148,9.0,539.0,2.0,False,True,False,False,False,novel,,0.1758,,polarization,Stim8hr,T-cell-specific(measured),True,True
FKBP14,-0.042280413,1.0,0.127770944339546,1.0,809.0,2.0,False,True,False,True,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
YLPM1,-0.042274565,,,26.0,118.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
AHSA1,-0.04226675,,0.0943447363971171,3.0,1368.0,2.0,False,True,False,True,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
HSD17B4,-0.042261783,0.8302550421801906,-0.0075243280189756,1.0,1326.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
MGAT2,-0.04221667,-1.0,0.0594475066620481,0.0,563.0,2.0,False,True,False,False,False,novel,,0.1794,,polarization,Stim8hr,T-cell-specific(measured),True,True
PCBP2,-0.042205386,-0.0658134069282853,0.0217117009747825,626.0,229.0,2.0,False,True,False,False,False,authors-nominated,,,,polarization,Stim8hr,no-K562-data,True,False
MYT1L,-0.04219962,,0.0582444445824279,12.0,1375.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
PPP1R7,-0.04215943,0.8918184302225796,0.1668698895072849,43.0,470.0,2.0,False,True,False,True,False,authors-nominated,,,,polarization,Stim8hr,no-K562-data,True,False
HOXC5,-0.042087752,-0.1452397913404151,0.0239198569122423,51.0,486.0,2.0,False,False,False,False,False,authors-nominated,,,,polarization,Stim8hr,no-K562-data,True,False
SMYD5,-0.042055167,,0.0391270750736729,0.0,672.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
TPM2,-0.042047776,,0.1108576147454096,0.0,330.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ICAM1,-0.042033184,0.995148277706966,0.0506883794842959,2.0,847.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
BOLA2B,-0.042019837,-1.0,0.0223626266174007,4.0,664.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
CCDC138,-0.04197329,-0.3740199427892501,-0.0343665315424101,961.0,888.0,2.0,False,True,True,False,False,novel,,0.1893,,polarization,Stim8hr,T-cell-specific(measured),True,True
ADRB2,-0.041916918,,0.0805228123531806,0.0,709.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
VWA5A,-0.041882116,,0.1375368758449734,0.0,820.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ZDHHC18,-0.041857213,0.1968363492979578,0.0752959570790084,6.0,637.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
CNOT8,-0.041804545,,-0.021073131835965,1.0,337.0,2.0,False,True,False,False,False,novel,,0.4223,,polarization,Stim8hr,T-cell-specific(measured),True,True
ATOH7,-0.041794755,,0.0500420920657322,0.0,336.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
LTB,-0.04171665,,,16.0,210.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
GXYLT1,-0.041654296,,,0.0,289.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ANKRD27,-0.041623276,0.0089306859808151,0.0650650418893167,8.0,640.0,2.0,False,True,False,False,False,authors-nominated,,0.245,,polarization,Stim8hr,T-cell-specific(measured),True,True
ASTE1,-0.04162063,0.6360728858856163,0.0759843390048288,6.0,702.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ZNF705D,-0.041617736,,0.1254604132624077,0.0,503.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
MB21D2,-0.04160978,1.0,-0.0095802227560413,1.0,567.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
TEAD3,-0.041602354,,0.0326468726105325,2.0,483.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
FAM133B,-0.041556884,,,3.0,531.0,1.0,True,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
RECQL5,-0.04153522,,,2.0,383.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
SAMD4A,-0.041525546,,0.0806842431575901,3.0,614.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
HCAR1,-0.041482985,,0.0654223344571401,0.0,343.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ETHE1,-0.041479144,0.9038710597623456,0.0825743371843116,3.0,725.0,2.0,False,True,False,False,False,novel,,0.34,,polarization,Stim8hr,T-cell-specific(measured),True,True
MYT1,-0.041444737,-0.218178986477343,0.1950991885350509,5.0,727.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
DVL3,-0.041417528,0.1348682762077618,0.0272487029453211,7.0,719.0,2.0,False,True,False,False,False,novel,,0.3313,,polarization,Stim8hr,T-cell-specific(measured),True,True
ICAM3,-0.041359432,1.0,0.0331167954735865,3.0,753.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
RHBDD2,-0.041350342,1.0,-0.0243578996793496,1.0,591.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ARHGAP26,-0.041300375,,,1.0,277.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
EGLN3,-0.04129005,,0.1407925974101259,0.0,369.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
HAS3,-0.041284688,0.677936781596207,0.1869654371920496,2.0,645.0,1.0,True,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
MTM1,-0.04128458,0.7130396862533562,0.033149059462025,5.0,1346.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
YPEL2,-0.041266967,0.2829694518768594,-0.0251893219293289,125.0,729.0,2.0,False,True,True,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ITPKC,-0.04125482,1.0,0.1528867852475305,2.0,580.0,2.0,False,True,False,True,False,novel,,0.0679,,polarization,Stim8hr,T-cell-specific(measured),True,True
