gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
SAXO5,0.100386366,,,0.0,176.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ZNF337,0.100415334,,0.1479461758402193,1.0,556.0,2.0,False,True,False,False,False,novel,,0.2832,,activation,Stim8hr,T-cell-specific(measured),True,True
UNC50,0.10041881,,,8.0,46.0,1.0,True,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
MAN1C1,0.10042066,,0.0502973163048062,0.0,1275.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
PHLDB2,0.100436404,,0.0035352803737892,0.0,474.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
C12orf57,0.10046657,0.9932487292333702,0.1104381302651936,6.0,830.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TPM3,0.10049419,,,1.0,209.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ZNF462,0.10059077,-0.7718158211909265,0.1475331280462939,5.0,530.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SKA3,0.10062653,,,10.0,176.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
MMP1,0.10064777,,0.1414028904212254,0.0,812.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
NDUFAF3,0.1006632,,,2.0,1033.0,2.0,False,True,False,False,False,novel,,0.5441,cell-line-shared/generic,activation,Stim8hr,cell-line-shared/generic,False,False
SEC14L2,0.10074314,-0.0020244334726224,0.0729506849456365,70.0,715.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
FBXO11,0.10078418,0.9627959338887532,0.3711222757715708,112.0,809.0,2.0,False,True,False,False,True,novel,,,,activation,Stim8hr,no-K562-data,True,False
GSTA4,0.100861944,,,13.0,34.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TCAP,0.100871064,,0.0758442250959681,0.0,893.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
GCNT7,0.10091016,,0.0926084544119555,0.0,994.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
DUS2,0.10094707,,,1.0,182.0,1.0,True,True,False,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
BPNT1,0.100948334,,,1.0,501.0,2.0,False,True,False,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TES,0.10096045,1.0,0.1595692000869556,1.0,942.0,2.0,False,True,False,False,False,novel,,0.2849,,activation,Stim8hr,T-cell-specific(measured),True,True
ELF1,0.10096935,,0.0540192605619964,0.0,153.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TAS2R20,0.10104335,,0.1143132783057848,0.0,802.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SHC1,0.10104527,0.5415177434709686,0.0223754430417376,3.0,499.0,1.0,True,True,False,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ATF7,0.101118825,,,1.0,495.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TNKS1BP1,0.10119427,,,24.0,125.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ZNF839,0.10121933,,0.0962227167476844,0.0,518.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
